LOC_ID,State,Year,Site,Latitude,Longitude,Texture2,CornRM,CornRM_Class
1,WI,2018,WI_Amherst18,44.523944,-89.314722,SandyLoam,100,A
2,WI,2018,WI_ARL18,43.306774,-89.348783,SiltLoam,104,A
3,WI,2018,WI_Brillion18,44.225361,-89.153611,SandyLoam,81,C
4,WI,2018,WI_Ruppert18,42.929361,-90.160139,SiltLoam,100,A
5,WI,2019,WI_ARL19,43.29638,-89.350514,SiltLoam,105,A
6,WI,2019,WI_Gates19,43.115729,-89.932297,SandyLoam,98,B
7,WI,2019,WI_PDS19,43.35007,-89.755993,SiltLoam,97,B
8,MI,2018,MI_Campus18,42.683319,-84.489585,Loam,99,B
9,MI,2018,MI_K18,42.4187,-85.3728,Loam,102,A
10,MI,2018,MI_S18,43.524609,-84.863391,Loam,104,A
11,MI,2019,MI_Campus19,42.709885,-84.466405,SandyLoam,93,C
12,MI,2019,MI_K19,42.415767,-85.37245,Loam,100,A
13,PA,2018,PA_Landis18,40.1195768,-76.429568,SiltLoam,111,A
14,PA,2018,PA_Rocksp18,40.717276,-77.9421264,SiltLoam,102,A
15,PA,2019,PA_Landis19,40.1195768,-76.429568,SiltLoam,111,A
16,PA,2019,PA_Rocksp19,40.717276,-77.9421264,SiltLoam,100,A
17,ID,2018,ID_NorthF18,42.5502,-114.3549,SiltLoam,90,C
18,ID,2018,ID_SouthF18,42.518817,-114.379136,SiltLoam,90,C
19,ID,2018,ID_Stutzman18,42.5934,-114.66135,SiltLoam,96,B
20,ID,2019,ID_IDStation19,42.5502,-114.3549,SiltLoam,90,C
21,ID,2019,ID_Pearson19,42.5681,-114.7115,SiltLoam,93,C
22,ID,2019,ID_Stutzman19,42.572895,-114.633815,SiltLoam,96,B
23,ID,2019,ID_Wooten19,42.55839,-114.307,SiltLoam,98,B
